Market,Cat_ID,Cat_Name,Parent_ID,Level,Full_Path
쿠팡,C001387,차량용배터리,C001382,4,생활용품 > 조명/전기용품 > 건전지 > 차량용배터리
쿠팡,C001388,충전지,C001382,4,생활용품 > 조명/전기용품 > 건전지 > 충전지
쿠팡,C001389,코인건전지,C001382,4,생활용품 > 조명/전기용품 > 건전지 > 코인건전지
쿠팡,C001390,"특수건전지(C,D,V형)",C001382,4,"생활용품 > 조명/전기용품 > 건전지 > 특수건전지(C,D,V형)"
쿠팡,C001392,멀티탭/연장선,C001383,3,생활용품 > 조명/전기용품 > 멀티탭/연장선
쿠팡,C001391,멀티탭 T자,C001392,4,생활용품 > 조명/전기용품 > 멀티탭/연장선 > 멀티탭 T자
쿠팡,C001393,멀티탭 전선형,C001392,4,생활용품 > 조명/전기용품 > 멀티탭/연장선 > 멀티탭 전선형
쿠팡,C001394,전기연장선/릴선,C001392,4,생활용품 > 조명/전기용품 > 멀티탭/연장선 > 전기연장선/릴선
쿠팡,C001395,손전등/랜턴,C001383,3,생활용품 > 조명/전기용품 > 손전등/랜턴
쿠팡,C001397,전구/형광등,C001383,3,생활용품 > 조명/전기용품 > 전구/형광등
쿠팡,C001396,LED전구,C001397,4,생활용품 > 조명/전기용품 > 전구/형광등 > LED전구
쿠팡,C001398,백열등/백열전구,C001397,4,생활용품 > 조명/전기용품 > 전구/형광등 > 백열등/백열전구
쿠팡,C001399,삼파장전구,C001397,4,생활용품 > 조명/전기용품 > 전구/형광등 > 삼파장전구
